Date,Amount,Currency
2000-02-21,0.12018,GBX
2000-08-07,0.06042,GBX
2001-02-28,0.13837,GBX
2001-08-08,6.62624,GBX
2002-02-27,15.26633,GBX
2002-08-14,0.06951,GBX
2003-02-26,0.15266,GBX
2003-08-13,0.06951,GBX
2004-03-17,15.26633,GBX
2004-08-11,6.95106,GBX
2005-03-16,15.26633,GBX
2005-08-10,6.95106,GBX
2006-03-08,0.15266,GBX
2006-08-09,6.95106,GBX
2006-12-31,0.1739,GBX
2007-03-07,15.26633,GBX
2007-08-08,7.27587,GBX
2007-12-31,0.18254,GBX
2008-03-05,0.16046,GBX
2008-08-06,0.07406,GBX
2008-12-31,0.05797,GBX
2015-04-02,0.0075,GBX
2015-08-13,0.0075,GBX
2016-04-07,0.015,GBX
2016-08-11,0.0085,GBX
2017-04-06,0.005,GBX
2017-08-10,0.01,GBX
2018-04-19,0.0205,GBX
2018-08-16,0.0107,GBX
2019-04-04,0.0214,GBX
2019-08-08,0.0112,GBX
2020-04-16,0.0225,GBX
2021-04-15,0.0057,GBX
2021-08-05,0.0067,GBX
2022-04-07,0.0133,GBX
2022-08-04,0.008,GBX
2023-04-13,0.016,GBX
2023-08-03,0.0092,GBX
2024-04-11,0.0184,GBX
2024-08-01,0.0106,GBX
