Date,Amount,Currency
2000-06-05,0.01745,GBP
2000-12-11,0.03209,GBP
2001-06-13,0.01774,GBP
2001-12-05,3.33099,GBP
2002-06-05,1.74822,GBP
2002-12-04,0.03377,GBP
2003-06-04,0.02256,GBP
2003-12-03,0.03413,GBP
2004-06-02,0.02197,GBP
2004-12-01,3.35444,GBP
2005-06-01,2.27972,GBP
2005-11-30,0.03369,GBP
2006-06-14,2.29209,GBP
2006-12-13,0.03351,GBP
2007-06-06,0.02235,GBP
2007-12-05,0.03731,GBP
2008-06-04,0.02732,GBP
2008-12-03,5.34756,GBP
2009-06-03,0.01622,GBP
2009-12-02,2.93106,GBP
2010-06-02,1.56323,GBP
2010-12-01,2.93106,GBP
2011-06-01,1.95404,GBP
2011-12-14,0.017,GBP
2012-06-07,0.01575,GBP
2012-12-05,0.01707,GBP
2012-12-06,0.0225,GBP
2013-06-05,1.56253,GBP
2013-06-06,0.0171,GBP
2013-12-04,2.38492,GBP
2013-12-05,0.029,GBP
2014-06-04,0.01809,GBP
2014-12-04,0.02673,GBP
2015-06-04,1.97372,GBP
2015-12-03,0.03084,GBP
2016-06-02,2.09708,GBP
2016-12-01,0.03372,GBP
2017-06-01,0.021,GBP
2017-12-07,0.0337,GBP
2018-08-30,0.022,GBP
2019-01-10,0.0337,GBP
2019-05-30,0.0245,GBP
2020-01-02,0.0375,GBP
2025-01-09,0.02,GBP
