Date,Amount,Currency
2001-08-15,2.0995,GBP
2002-02-27,0.04199,GBP
2002-08-21,2.3205,GBP
2003-03-05,0.05525,GBP
2003-08-20,0.02984,GBP
2004-07-14,3.4255,GBP
2005-02-16,0.06851,GBP
2005-07-13,3.6465,GBP
2006-02-08,7.18251,GBP
2006-07-12,3.757,GBP
2007-02-07,7.40351,GBP
2007-06-27,0.03978,GBP
2008-01-30,0.07956,GBP
2008-06-25,0.0442,GBP
2009-01-28,8.84001,GBP
2009-07-01,0.04862,GBP
2010-01-27,0.09724,GBP
2010-06-30,5.52501,GBP
2011-01-26,13.81252,GBP
2011-06-29,7.18251,GBP
2012-01-25,0.14144,GBP
2012-06-27,7.95601,GBP
2013-01-23,15.58052,GBP
2013-06-26,0.0884,GBP
2014-01-22,0.1768,GBP
2014-05-21,9.72401,GBP
2014-07-03,0.56,GBP
2015-01-22,18.40801,GBP
2015-06-25,10.19201,GBP
2016-01-21,0.20384,GBP
2016-06-23,0.11024,GBP
2017-01-19,0.21944,GBP
2017-05-18,0.11648,GBP
2017-06-27,0.61,GBP
2018-01-18,0.223,GBP
2018-06-21,0.123,GBP
2019-01-17,0.254,GBP
2019-06-20,0.131,GBP
2020-01-16,0.269,GBP
2022-01-20,0.14,GBP
2022-06-09,0.094,GBP
2023-01-19,0.221,GBP
2023-06-08,0.15,GBP
2024-01-18,0.281,GBP
2024-06-13,0.162,GBP
2025-01-16,0.3142,GBP
