Date,Amount,Currency
2000-04-03,0.02525,GBP
2000-10-02,5.26562,GBP
2001-04-04,0.02728,GBP
2001-10-03,0.05843,GBP
2002-04-10,0.02944,GBP
2002-10-02,0.06485,GBP
2003-04-09,3.23937,GBP
2003-10-01,0.08079,GBP
2004-04-28,0.04525,GBP
2004-10-20,0.09626,GBP
2005-04-27,5.89513,GBP
2005-10-19,11.79682,GBP
2006-05-03,6.78039,GBP
2006-11-01,13.56733,GBP
2007-02-28,0.07462,GBP
2007-10-31,15.93456,GBP
2008-04-23,8.01974,GBP
2013-10-23,0.025,GBP
2014-04-16,0.032,GBP
2014-10-30,0.071,GBP
2015-04-23,0.048,GBP
2015-10-29,0.1,GBP
2016-04-28,0.06,GBP
2016-10-27,0.123,GBP
2017-04-20,0.073,GBP
2017-10-26,0.173,GBP
2018-04-19,0.086,GBP
2018-10-11,0.179,GBP
2019-04-11,0.096,GBP
2019-10-10,0.195,GBP
2020-06-16,9.8,GBP
2021-04-15,0.075,GBP
2021-09-30,0.219,GBP
2022-04-07,0.112,GBP
2022-09-29,0.257,GBP
2023-04-06,0.102,GBP
2023-09-28,0.235,GBP
2024-04-11,0.044,GBP
2024-09-26,0.118,GBP
