Date,Amount,Currency
2000-03-27,2.28357,GBP
2000-10-02,4.90297,GBP
2001-03-28,2.61939,GBP
2001-10-03,5.64177,GBP
2002-03-27,3.02238,GBP
2002-10-02,6.5149,GBP
2003-03-26,3.49253,GBP
2003-10-01,7.52236,GBP
2004-03-31,4.02984,GBP
2004-09-29,8.73131,GBP
2005-03-30,4.70148,GBP
2005-09-28,10.20892,GBP
2006-03-22,5.50744,GBP
2006-09-27,11.95518,GBP
2007-03-28,6.44774,GBP
2007-09-26,27.13423,GBP
2008-03-12,12.08951,GBP
2008-09-24,24.85066,GBP
2009-03-11,12.08951,GBP
2009-09-23,24.85066,GBP
2010-03-10,12.42533,GBP
2010-09-22,26.52976,GBP
2011-03-02,13.43279,GBP
2011-09-21,29.55214,GBP
2012-02-29,14.44025,GBP
2012-03-01,0.215,GBP
2012-09-19,29.88795,GBP
2012-09-20,0.445,GBP
2013-03-06,14.44025,GBP
2013-03-07,0.215,GBP
2013-09-18,31.23123,GBP
2013-09-19,0.465,GBP
2014-03-05,15.11189,GBP
2014-03-06,0.225,GBP
2014-09-24,33.24615,GBP
2015-03-05,16.11935,GBP
2015-09-24,30.2584,GBP
2016-03-24,18.07099,GBP
2016-09-29,36.14198,GBP
2017-03-30,18.9115,GBP
2017-09-28,37.823,GBP
2018-03-22,19.33175,GBP
2018-09-27,38.66351,GBP
2019-03-28,4.19099,GBP
2024-04-18,0.0167,GBP
2024-10-24,0.0348,GBP
