Date,Amount,Currency
2000-05-30,9.20126,GBX
2000-11-27,0.06128,GBX
2001-05-30,0.09146,GBX
2001-11-28,7.11858,GBX
2002-06-05,0.09703,GBX
2002-12-04,0.06948,GBX
2003-05-28,11.39413,GBX
2003-11-26,8.7164,GBX
2004-06-02,13.08011,GBX
2004-12-01,9.36655,GBX
2005-06-08,0.15395,GBX
2005-11-30,9.86355,GBX
2006-06-07,15.37554,GBX
2006-11-29,10.54046,GBX
2007-06-06,17.21286,GBX
2007-11-28,0.10399,GBX
2008-06-04,20.59742,GBX
2008-12-03,0.11234,GBX
2009-06-03,22.24134,GBX
2009-12-02,0.12132,GBX
2010-06-02,0.24906,GBX
2010-12-01,0.12934,GBX
2011-06-01,25.60363,GBX
2011-11-30,0.13967,GBX
2012-05-30,27.65454,GBX
2012-05-31,0.2535,GBX
2012-11-29,0.1449,GBX
2013-06-06,0.2636,GBX
2013-12-04,15.80727,GBX
2013-12-05,0.1449,GBX
2014-06-05,0.2754,GBX
2014-11-20,16.04727,GBX
2015-06-04,0.28235,GBX
2015-11-26,0.1504,GBX
2016-06-02,0.28416,GBX
2016-11-24,0.15211,GBX
2017-05-18,0.84375,GBX
2017-05-22,84.375,GBX
2017-06-01,0.26746,GBX
2017-11-23,0.14237,GBX
2018-05-31,0.27978,GBX
2018-11-22,0.14779,GBX
2019-05-30,0.28732,GBX
2019-11-28,16.57,GBX
2020-07-02,0.29412,GBX
2020-11-26,17,GBX
2021-06-03,32.16,GBX
2021-12-02,0.15818,GBX
2022-06-01,33.76,GBX
2022-11-24,0.16397,GBX
2023-06-01,37.6,GBX
2023-11-23,0.17831,GBX
2024-06-06,39.12,GBX
2024-11-21,15.84,GBX
