Date,Amount,Currency
2001-03-15,0.00604,USD
2001-06-13,0.00612,USD
2001-09-12,0.064,USD
2001-09-17,0.00387,USD
2001-12-12,0.00612,USD
2002-03-13,0.00765,USD
2002-06-12,0.00755,USD
2002-09-11,0.00755,USD
2002-12-11,0.00755,USD
2003-03-12,0.00906,USD
2003-06-11,0.00918,USD
2003-09-10,0.00906,USD
2003-12-10,0.00906,USD
2004-03-10,0.01224,USD
2004-06-16,0.01224,USD
2004-09-15,0.00894,USD
2004-12-15,0.01004,USD
2005-03-16,0.01383,USD
2005-06-15,0.0116,USD
2005-09-14,0.01249,USD
2005-12-14,0.01257,USD
2006-03-15,0.01571,USD
2006-06-14,0.0162,USD
2006-09-13,0.0162,USD
2006-12-13,0.01571,USD
2007-03-14,0.01765,USD
2007-06-13,0.01934,USD
2007-09-12,0.01983,USD
2007-12-12,0.02055,USD
2008-03-12,0.02498,USD
2008-06-11,0.02375,USD
2008-09-10,0.02272,USD
2008-12-10,0.01934,USD
2009-03-11,0.01983,USD
2009-06-10,0.02326,USD
2009-09-09,0.024,USD
2009-12-09,0.02417,USD
2010-03-10,0.03505,USD
2010-06-09,0.03477,USD
2010-09-15,0.03575,USD
2010-12-15,0.03626,USD
2011-03-16,0.04399,USD
2011-06-15,0.04505,USD
2011-09-14,0.04456,USD
2011-12-14,0.0431,USD
2012-03-15,0.05124,USD
2012-06-13,0.04995,USD
2012-09-12,0.05221,USD
2012-12-12,0.05142,USD
2013-03-14,0.05926,USD
2013-06-12,0.05898,USD
2013-09-11,0.05926,USD
2013-12-11,0.09256,USD
2014-03-13,0.09765,USD
2014-06-11,0.10088,USD
2014-09-10,0.10039,USD
2014-12-10,0.09524,USD
2015-03-12,0.08815,USD
2015-06-10,0.08992,USD
2015-09-09,0.08412,USD
2015-12-09,0.0817,USD
2016-03-16,0.08423,USD
2016-06-15,0.08766,USD
2016-09-14,0.0857,USD
2016-12-07,0.09207,USD
2017-03-15,0.0999,USD
2017-06-14,0.10186,USD
2017-09-14,0.11068,USD
2017-12-11,0.1048,USD
2018-03-15,0.12684,USD
2018-06-14,0.12635,USD
2018-09-13,0.12635,USD
2018-12-07,0.335,USD
2019-03-21,0.1381,USD
2019-06-13,0.13761,USD
2019-09-12,0.13908,USD
2019-12-10,0.13859,USD
2020-03-19,0.14349,USD
2020-06-11,0.15524,USD
2020-09-17,0.15818,USD
2020-12-08,0.16259,USD
2021-03-18,0.1856,USD
2021-06-17,0.18756,USD
2021-09-16,0.18217,USD
2021-12-09,0.22723,USD
2022-03-17,0.28991,USD
2022-06-16,0.28502,USD
2022-08-22,0.5775,USD
2022-09-15,0.285,USD
2022-12-15,0.314,USD
2023-03-16,0.327,USD
2023-06-15,0.338,USD
2023-09-14,0.332,USD
2023-12-07,0.368,USD
2024-03-14,0.39,USD
2024-06-17,0.382,USD
2024-09-13,0.387,USD
2024-12-13,0.39,USD
2025-03-21,0.4117,USD
