Date,Amount,Currency
2000-03-28,0.0233,USD
2000-09-26,0.0236,USD
2001-03-27,0.0208,USD
2001-09-25,0.103,USD
2002-03-26,0.0108,USD
2002-09-25,0.021,USD
2003-03-26,0.107,USD
2003-09-25,0.107,USD
2004-03-26,0.113,USD
2004-09-27,0.0228,USD
2005-03-28,0.00458,USD
2005-09-27,0.113,USD
2006-03-28,0.107,USD
2006-09-27,0.0214,USD
2007-03-28,0.0204,USD
2007-09-26,0.113,USD
2008-03-26,0.119,USD
2008-03-27,0.00476,USD
2008-09-25,0.319,USD
2009-03-27,0.026,USD
2009-03-29,0.0052,USD
2009-09-25,0.144,USD
2009-09-28,0.00576,USD
2010-03-26,0.136,USD
2010-03-29,0.00542,USD
2010-09-27,0.0372,USD
2010-09-28,0.00594,USD
2011-03-28,0.196,USD
2011-03-29,0.00622,USD
2011-09-27,0.146,USD
2011-09-28,0.00644,USD
2012-03-27,0.0394,USD
2012-03-28,0.00628,USD
2012-09-25,0.0304,USD
2012-09-26,0.00608,USD
2013-03-26,0.0314,USD
2013-03-27,0.00498,USD
2013-09-25,0.0254,USD
2013-09-26,0.00484,USD
2014-03-26,0.0244,USD
2014-03-27,0.00488,USD
2015-09-25,0.081,USD
2015-09-28,0.00324,USD
2016-03-28,0.09,USD
2016-03-29,0.0036,USD
2016-09-27,0.088,USD
2016-09-28,0.00352,USD
2017-03-28,0.0182,USD
2017-03-29,0.00366,USD
2017-09-28,0.0222,USD
2018-03-28,0.138,USD
2018-09-27,0.0264,USD
2019-03-28,0.0366,USD
2019-09-27,0.0368,USD
2020-03-27,0.228,USD
2020-09-28,0.239,USD
2021-03-29,0.0546,USD
2021-09-28,0.266,USD
2022-03-29,0.0534,USD
2022-09-29,0.258,USD
2023-03-30,0.0572,USD
2023-09-28,0.272,USD
2024-03-27,0.287,USD
2024-09-30,0.06635,USD
